Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration
1	2	0	0	1	0	1	1	1	2	0	4	4	4	5	2	4	3	0	0	0	620
0	1	0	0	0	1	1	1	1	2	0	5	5	5	5	1	1	0	0	0	0	480
0	1	0	0	1	2	1	1	1	2	0	3	1	3	2	0	5	5	4	0	0	505
1	3	0	0	0	1	1	0	1	2	2	3	1	0	2	4	3	5	4	0	0	525
1	3	0	0	0	1	1	1	1	2	2	3	1	0	2	4	3	5	4	0	0	535
4	3	1	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	530
1	1	0	0	1	0	1	1	1	2	0	5	5	4	5	0	0	0	0	0	0	458
2	2	0	0	1	1	1	1	1	2	0	5	4	4	4	0	0	0	0	0	0	505
1	1	0	0	1	1	1	1	1	2	2	3	5	4	4	4	4	3	4	0	0	490
1	3	3	0	1	2	1	1	1	2	1	5	4	4	5	1	1	1	2	0	0	550
1	3	3	0	1	2	1	0	1	1	2	5	4	4	5	1	1	1	2	0	0	190
1	3	0	0	0	2	1	1	1	2	2	5	4	4	4	1	1	1	1	0	0	540
1	3	0	0	0	2	1	0	1	2	2	5	4	4	4	1	1	1	1	0	0	520
4	3	1	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	512
2	3	0	0	0	3	2	1	1	2	2	3	1	1	2	0	3	3	4	0	0	693
2	3	0	0	0	3	2	0	1	2	2	3	1	1	2	0	3	3	4	0	0	530
3	3	0	0	1	3	2	0	1	2	0	0	0	0	0	5	5	5	5	0	0	525
3	3	3	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	551
3	3	2	0	1	2	1	1	1	2	1	1	0	0	1	0	0	5	0	0	0	85
2	2	0	0	1	3	2	1	1	2	0	2	1	1	1	0	1	1	0	0	0	640
4	2	0	0	2	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	760
2	2	0	0	2	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	540
3	3	3	1	1	1	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	390
3	3	1	1	1	3	2	1	1	2	1	3	1	1	2	1	1	3	2	0	0	550
0	0	0	1	0	0	0	1	1	0	1	5	5	5	5	0	1	1	0	0	0	350
2	1	0	1	2	3	1	1	1	2	1	2	1	1	1	0	1	1	0	0	0	435
2	4	3	1	2	2	1	1	1	0	0	3	4	2	2	3	3	2	3	0	0	200
2	4	3	1	1	2	1	0	1	0	0	3	4	2	2	3	3	2	3	0	0	640
0	1	0	1	0	3	1	1	1	2	0	5	5	5	5	0	0	1	0	0	0	650
0	3	0	1	1	3	1	0	1	2	2	3	5	5	4	4	3	3	4	0	0	495
0	3	0	1	0	3	1	1	1	2	2	3	5	5	4	4	3	3	4	0	0	100
2	2	1	1	0	2	2	1	1	2	0	2	3	2	2	1	1	2	2	0	0	575
0	1	0	1	1	2	1	1	1	2	0	3	4	4	4	0	1	0	0	0	0	90
0	3	0	1	0	1	0	1	1	2	2	5	4	5	5	1	3	2	1	0	0	490
3	0	0	1	1	2	1	0	1	0	2	1	0	0	1	5	5	5	4	0	0	142
3	2	0	1	1	3	2	0	1	0	2	3	1	1	2	0	0	2	1	0	0	115
4	2	0	1	1	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	605
4	2	0	1	1	3	2	0	1	0	2	0	0	0	0	5	5	5	5	0	0	355
