Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	
2	3	0	0	0	3	2	1	1	2	2	3	1	1	2	0	3	3	4	0	0	4	53
0	0	0	1	0	0	0	1	1	0	1	5	5	5	5	0	1	1	0	0	0	1	79
4	2	0	1	1	3	2	0	1	0	2	0	0	0	0	5	5	5	5	0	0	1	66
4	3	2	1	1	3	2	0	1	1	1	0	0	0	0	5	5	5	5	0	0	3	42
2	3	0	2	2	3	2	1	1	2	1	1	0	0	1	1	0	0	1	0	0	2	52
1	1	0	2	1	2	0	0	1	2	0	1	4	4	2	3	3	2	4	0	0	1	30
4	4	0	2	3	1	2	1	1	0	0	0	0	0	0	5	5	5	5	0	0	3	55
0	1	0	3	0	1	0	0	1	2	1	5	5	5	5	0	0	0	0	0	0	3	48
1	2	0	4	1	3	2	1	1	2	0	4	4	4	3	1	1	1	1	0	0	1	72
1	3	0	4	0	2	1	1	1	2	1	5	4	4	5	3	3	3	0	0	0	1	62
4	3	0	4	1	3	2	0	1	2	2	1	1	0	1	0	0	5	0	0	0	3	37
2	4	0	0	3	0	1	1	1	0	0	0	0	0	0	5	5	5	5	0	0	0	53
0	1	0	0	0	2	0	0	1	2	0	5	5	4	5	0	0	0	0	0	0	3	46
4	3	3	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	76
2	3	1	0	1	2	1	1	1	2	1	3	3	2	1	4	3	3	4	0	0	3	42
4	1	0	0	2	1	1	0	1	1	0	0	0	0	0	5	5	5	5	0	0	2	49
3	2	0	0	1	3	1	1	1	2	0	0	4	1	0	5	5	5	5	0	0	2	53
3	2	2	0	1	3	2	1	1	2	0	2	1	0	1	0	0	2	3	0	0	3	59
1	3	0	0	1	3	1	1	1	2	1	4	4	3	4	1	0	0	0	0	0	2	50
4	3	0	0	1	3	1	0	1	1	2	1	0	0	0	5	5	5	5	0	0	4	80
0	1	0	0	1	2	0	0	1	2	2	5	5	5	5	0	0	0	0	0	0	2	53
0	3	0	0	1	2	2	1	1	2	2	5	5	4	5	0	3	3	1	0	0	2	34
0	3	0	0	1	2	2	0	1	2	2	5	5	4	5	0	3	3	1	0	0	2	52
3	2	2	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	59
1	4	2	0	1	0	1	1	1	0	0	5	5	4	3	0	0	0	0	0	0	1	61
2	1	3	0	1	3	1	0	1	2	0	3	4	4	3	4	4	4	3	0	0	2	69
2	3	0	0	1	3	2	1	1	2	1	1	3	2	1	1	1	1	2	0	0	2	45
4	2	0	0	1	1	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	46
2	2	3	0	1	3	1	1	1	2	0	1	2	4	1	1	0	2	1	0	0	1	79
4	3	2	0	1	3	2	0	1	1	2	0	0	0	0	5	5	5	5	0	0	2	66
0	2	1	0	1	3	2	1	1	2	0	1	1	4	2	4	5	4	0	0	0	1	83
