Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	Durbreak
2	3	0	0	0	3	2	1	1	2	2	3	1	1	2	0	3	3	4	0	0	4	2	67
0	0	0	1	0	0	0	1	1	0	1	5	5	5	5	0	1	1	0	0	0	1	4	90
4	2	0	1	1	3	2	0	1	0	2	0	0	0	0	5	5	5	5	0	0	1	3	200
4	3	2	1	1	3	2	0	1	1	1	0	0	0	0	5	5	5	5	0	0	3	1	61
2	3	0	2	2	3	2	1	1	2	1	1	0	0	1	1	0	0	1	0	0	2	2	30
1	1	0	2	1	2	0	0	1	2	0	1	4	4	2	3	3	2	4	0	0	1	0	92
4	4	0	2	3	1	2	1	1	0	0	0	0	0	0	5	5	5	5	0	0	3	2	60
0	1	0	3	0	1	0	0	1	2	1	5	5	5	5	0	0	0	0	0	0	3	1	31
1	2	0	4	1	3	2	1	1	2	0	4	4	4	3	1	1	1	1	0	0	1	4	120
1	3	0	4	0	2	1	1	1	2	1	5	4	4	5	3	3	3	0	0	0	1	3	225
4	3	0	4	1	3	2	0	1	2	2	1	1	0	1	0	0	5	0	0	0	3	1	15
2	4	0	0	3	0	1	1	1	0	0	0	0	0	0	5	5	5	5	0	0	0	2	100
0	1	0	0	0	2	0	0	1	2	0	5	5	4	5	0	0	0	0	0	0	3	1	23
4	3	3	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	4	50
2	3	1	0	1	2	1	1	1	2	1	3	3	2	1	4	3	3	4	0	0	3	1	46
4	1	0	0	2	1	1	0	1	1	0	0	0	0	0	5	5	5	5	0	0	2	2	31
3	2	0	0	1	3	1	1	1	2	0	0	4	1	0	5	5	5	5	0	0	2	2	60
3	2	2	0	1	3	2	1	1	2	0	2	1	0	1	0	0	2	3	0	0	3	3	65
1	3	0	0	1	3	1	1	1	2	1	4	4	3	4	1	0	0	0	0	0	2	2	40
4	3	0	0	1	3	1	0	1	1	2	1	0	0	0	5	5	5	5	0	0	4	4	141
0	1	0	0	1	2	0	0	1	2	2	5	5	5	5	0	0	0	0	0	0	2	2	35
0	3	0	0	1	2	2	1	1	2	2	5	5	4	5	0	3	3	1	0	0	2	1	30
0	3	0	0	1	2	2	0	1	2	2	5	5	4	5	0	3	3	1	0	0	2	2	60
3	2	2	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	3	35
1	4	2	0	1	0	1	1	1	0	0	5	5	4	3	0	0	0	0	0	0	1	3	190
2	1	3	0	1	3	1	0	1	2	0	3	4	4	3	4	4	4	3	0	0	2	3	30
2	3	0	0	1	3	2	1	1	2	1	1	3	2	1	1	1	1	2	0	0	2	1	15
4	2	0	0	1	1	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	1	90
2	2	3	0	1	3	1	1	1	2	0	1	2	4	1	1	0	2	1	0	0	1	4	175
4	3	2	0	1	3	2	0	1	1	2	0	0	0	0	5	5	5	5	0	0	2	3	40
0	2	1	0	1	3	2	1	1	2	0	1	1	4	2	4	5	4	0	0	0	1	4	15
3	3	0	0	1	2	2	1	1	2	1	1	1	0	1	4	3	4	4	0	0	2	2	50
3	3	0	0	1	2	2	0	1	1	2	1	1	0	1	4	3	4	4	0	0	1	1	145
4	4	0	0	2	2	1	0	1	0	0	0	0	0	0	5	5	5	5	0	0	4	4	70
3	3	0	0	1	2	1	1	1	2	1	3	1	1	2	4	4	3	4	0	0	4	3	31
1	3	0	0	1	2	1	1	1	2	1	1	3	2	2	4	4	4	0	0	0	4	2	55
1	2	0	0	2	2	1	1	1	2	0	2	5	4	2	4	0	4	4	0	0	1	4	40
4	3	2	0	1	2	1	1	1	1	1	1	0	0	1	5	5	5	4	0	0	0	0	125
4	3	2	0	1	2	1	0	1	1	1	1	0	0	1	5	5	5	4	0	0	1	2	35
1	3	3	0	1	3	2	0	1	1	2	1	1	0	1	1	5	5	1	0	0	2	2	33
4	4	0	0	3	0	1	1	1	0	0	0	0	0	0	5	5	5	5	0	0	1	2	65
2	3	0	0	0	1	1	1	1	2	2	4	4	4	3	4	3	3	0	0	0	1	0	120
4	3	0	0	0	2	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	3	1	30
1	3	3	0	1	2	1	1	1	2	1	1	1	1	1	4	5	5	5	0	0	4	4	130
2	1	0	0	0	1	1	1	1	2	0	1	4	3	2	3	5	3	0	0	0	3	2	18
0	1	0	0	0	2	0	0	1	2	0	5	5	5	5	1	1	1	1	0	0	2	1	30
4	3	0	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	0	150
3	1	0	0	0	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	1	85
2	2	1	0	1	2	1	1	1	2	0	1	0	0	1	1	0	0	1	0	0	2	2	35
3	2	3	0	2	3	1	1	1	2	0	0	0	0	0	5	5	5	0	0	0	2	2	50
2	1	0	0	1	2	2	0	1	1	2	3	3	0	2	0	0	0	1	0	0	2	1	90
3	3	0	1	0	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	1	1	120
3	1	0	0	1	1	1	1	1	2	1	0	1	0	0	5	5	5	5	0	0	2	4	157
2	2	2	0	1	1	1	1	1	2	0	5	4	4	5	4	3	3	4	0	0	1	1	110
4	2	0	0	1	1	1	1	1	2	0	1	0	0	0	4	5	5	5	0	0	4	1	80
2	3	2	0	1	3	1	0	1	1	2	4	4	1	1	1	4	4	3	0	0	1	1	90
4	2	0	0	2	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	1	50
2	3	0	0	2	3	2	1	1	2	1	3	5	4	4	2	1	2	3	0	0	1	2	45
3	1	0	0	0	1	1	0	1	2	0	3	4	4	1	4	4	3	4	0	0	1	2	109
3	3	0	0	2	1	1	1	1	2	2	1	0	0	0	4	0	5	5	0	0	1	0	45
1	2	2	0	1	3	1	1	1	2	0	5	4	3	4	1	3	2	2	0	0	1	3	50
1	2	0	0	1	2	1	0	1	2	0	3	2	1	3	3	3	2	3	0	0	1	1	190
3	1	0	0	1	2	1	0	1	2	0	1	0	0	0	4	0	5	5	0	0	3	1	38
3	2	0	0	2	3	1	1	1	2	0	1	1	0	1	0	0	0	0	0	0	2	2	52
0	1	0	0	0	2	1	1	1	2	0	5	5	5	5	2	1	0	0	0	0	2	1	20
4	3	3	0	1	3	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	0	4	45
0	1	0	0	0	0	2	0	0	2	0	5	5	4	5	2	2	2	3	0	0	1	3	30
2	2	0	0	2	0	1	1	1	2	0	3	4	3	2	4	4	4	4	0	0	1	1	105
4	3	3	0	1	3	2	1	1	2	1	3	1	0	2	4	4	3	4	0	0	1	4	35
1	2	2	0	1	3	1	1	1	2	0	5	4	4	5	1	1	1	1	0	0	1	3	105
0	3	0	0	1	3	2	1	1	2	2	3	4	4	3	1	3	2	0	0	0	1	2	50
1	3	0	0	1	2	1	0	1	1	2	2	4	3	2	4	3	3	4	0	0	0	1	95
2	3	0	0	0	3	1	1	1	2	2	5	4	4	4	1	1	1	3	0	0	1	3	181
2	3	1	0	1	1	1	0	1	2	2	4	4	3	3	1	0	1	2	0	0	1	1	85
2	2	0	0	1	2	2	1	1	2	0	3	1	1	4	2	1	2	2	0	0	1	1	70
3	3	0	0	1	1	2	0	1	2	2	3	3	1	1	4	3	3	4	0	0	2	2	124
3	2	0	0	2	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	4	160
4	3	0	0	2	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	2	55
2	3	1	0	0	1	2	1	1	2	1	1	3	1	1	3	5	5	4	0	0	4	2	30
4	3	2	0	1	0	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	1	1	270
2	2	3	0	1	2	1	1	1	0	1	1	3	1	1	3	4	4	4	0	0	1	2	60
4	1	0	0	1	3	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	4	4	140
4	1	0	0	0	0	1	0	1	2	0	1	1	0	0	0	5	5	5	0	0	2	0	31
