Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Dur	Nep	Ratio	Inter	startTime
1	2	0	0	1	0	1	1	1	2	0	4	4	4	5	2	4	3	0	0	0	4	0	0	0	475
0	1	0	0	0	1	1	1	1	2	0	5	5	5	5	1	1	0	0	0	0	2	0	0	0	450
0	1	0	0	1	2	1	1	1	2	0	3	1	3	2	0	5	5	4	0	0	2	0	0	0	405
1	3	0	0	0	1	1	0	1	2	2	3	1	0	2	4	3	5	4	0	0	3	0	0	0	470
1	3	0	0	0	1	1	1	1	2	2	3	1	0	2	4	3	5	4	0	0	3	0	0	0	440
4	3	1	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	0	0	0	460
1	1	0	0	1	0	1	1	1	2	0	5	5	4	5	0	0	0	0	0	0	1	0	0	0	610
2	2	0	0	1	1	1	1	1	2	0	5	4	4	4	0	0	0	0	0	0	2	0	0	0	405
1	1	0	0	1	1	1	1	1	2	2	3	5	4	4	4	4	3	4	0	0	2	0	0	0	535
1	3	3	0	1	2	1	1	1	2	1	5	4	4	5	1	1	1	2	0	0	3	0	0	0	430
1	3	3	0	1	2	1	0	1	1	2	5	4	4	5	1	1	1	2	0	0	0	0	0	0	535
1	3	0	0	0	2	1	1	1	2	2	5	4	4	4	1	1	1	1	0	0	3	0	0	0	420
1	3	0	0	0	2	1	0	1	2	2	5	4	4	4	1	1	1	1	0	0	2	0	0	0	510
4	3	1	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	0	0	0	453
2	3	0	0	0	3	2	1	1	2	2	3	1	1	2	0	3	3	4	0	0	4	1	2	2	460
2	3	0	0	0	3	2	0	1	2	2	3	1	1	2	0	3	3	4	0	0	3	0	0	0	505
3	3	0	0	1	3	2	0	1	2	0	0	0	0	0	5	5	5	5	0	0	3	0	0	0	435
3	3	3	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	0	0	0	539
3	3	2	0	1	2	1	1	1	2	1	1	0	0	1	0	0	5	0	0	0	0	0	0	0	440
2	2	0	0	1	3	2	1	1	2	0	2	1	1	1	0	1	1	0	0	0	4	0	0	0	500
4	2	0	0	2	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	0	0	0	455
2	2	0	0	2	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	3	0	0	0	450
3	3	3	1	1	1	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	1	0	0	0	600
3	3	1	1	1	3	2	1	1	2	1	3	1	1	2	1	1	3	2	0	0	3	0	0	0	425
0	0	0	1	0	0	0	1	1	0	1	5	5	5	5	0	1	1	0	0	0	1	1	4	2	505
2	1	0	1	2	3	1	1	1	2	1	2	1	1	1	0	1	1	0	0	0	1	0	0	0	525
2	4	3	1	2	2	1	1	1	0	0	3	4	2	2	3	3	2	3	0	0	0	0	0	0	520
2	4	3	1	1	2	1	0	1	0	0	3	4	2	2	3	3	2	3	0	0	4	0	0	0	430
0	1	0	1	0	3	1	1	1	2	0	5	5	5	5	0	0	1	0	0	0	4	0	0	0	485
0	3	0	1	1	3	1	0	1	2	2	3	5	5	4	4	3	3	4	0	0	2	0	0	0	685
0	3	0	1	0	3	1	1	1	2	2	3	5	5	4	4	3	3	4	0	0	0	0	0	0	510
2	2	1	1	0	2	2	1	1	2	0	2	3	2	2	1	1	2	2	0	0	4	0	0	0	445
0	1	0	1	1	2	1	1	1	2	0	3	4	4	4	0	1	0	0	0	0	0	0	0	0	420
0	3	0	1	0	1	0	1	1	2	2	5	4	5	5	1	3	2	1	0	0	2	0	0	0	470
3	0	0	1	1	2	1	0	1	0	2	1	0	0	1	5	5	5	4	0	0	0	0	0	0	518
3	2	0	1	1	3	2	0	1	0	2	3	1	1	2	0	0	2	1	0	0	0	0	0	0	515
4	2	0	1	1	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	0	0	0	535
4	2	0	1	1	3	2	0	1	0	2	0	0	0	0	5	5	5	5	0	0	1	1	3	3	455
0	1	0	1	1	3	1	1	1	2	2	5	5	5	5	0	3	0	1	0	0	2	0	0	0	625
2	1	0	1	1	0	1	1	1	2	2	3	3	3	3	1	3	2	0	0	0	4	0	0	0	565
4	3	0	1	1	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	2	0	0	0	420
4	3	0	1	1	3	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	3	0	0	0	485
2	3	2	1	1	3	2	1	1	2	1	5	4	4	4	0	0	0	3	0	0	2	0	0	0	495
2	3	2	1	1	3	2	0	1	1	2	5	4	4	4	0	0	0	3	0	0	2	0	0	0	490
2	2	2	1	1	1	1	1	1	2	0	1	1	0	0	4	4	4	5	0	0	3	0	0	0	445
2	2	3	1	1	3	1	1	1	2	0	3	4	3	4	3	4	4	0	0	0	2	0	0	0	475
4	3	0	1	1	2	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	450
4	3	0	1	1	2	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	445
4	2	0	1	1	3	2	0	1	1	0	0	0	0	0	5	5	5	5	0	0	3	0	0	0	495
2	2	3	1	1	3	1	1	1	2	0	1	4	4	2	5	0	0	4	0	0	3	0	0	0	500
3	3	3	1	1	3	1	0	1	1	2	2	1	0	1	2	0	2	3	0	0	0	0	0	0	585
4	2	1	1	0	2	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	0	0	0	560
4	3	2	1	1	3	2	0	1	1	1	0	0	0	0	5	5	5	5	0	0	3	1	1	2	502
3	2	0	1	1	2	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	0	0	0	510
3	2	3	1	1	1	1	1	1	2	0	3	1	0	2	0	4	3	0	0	0	2	0	0	0	470
3	3	3	1	1	3	1	1	1	2	1	3	1	0	2	2	1	5	3	0	0	2	0	0	0	500
4	2	0	1	2	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	0	0	0	480
0	1	0	1	1	2	0	0	0	2	2	5	5	4	5	1	0	2	1	0	0	2	0	0	0	480
0	1	0	2	0	0	0	0	0	2	2	5	5	5	5	2	3	2	2	0	0	1	0	0	0	490
2	1	0	2	2	0	0	0	0	1	2	3	3	3	2	2	1	3	1	0	0	0	0	0	0	505
2	3	0	2	2	3	2	1	1	2	1	1	0	0	1	1	0	0	1	0	0	2	1	2	0	525
