cycle;name;location.x;location.y;location.z;name;heading;current_edge;destination;speed;real_speed;current_path;albatross_Urb;albatross_Comp;albatross_Child;albatross_Day;albatross_pAge;albatross_SEC;albatross_Ncar;albatross_Gend;albatross_Driver;albatross_wstat;albatross_Pwstat;albatross_Xdag;albatross_Xndag;albatross_Xarb;albatross_Xpop;albatross_Ddag;albatross_Dndag;albatross_Darb;albatross_Dpop;albatross_Dur;myPC;forXdag;forXndag
0;driving_people0;150913.07622106775;238613.8125438473;0.0;driving_people0;3;nil;{150914.0748506025,238613.86487980356,0.0};1.0;0.0;nil;3;4;0;0;4;1;0;0;0;0;0;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people1;150665.12112093956;238363.6854110369;0.0;driving_people1;216;nil;{150664.31210394518,238363.0976257846,0.0};1.0;0.0;nil;4;3;1;1;0;1;2;0;1;2;2;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people2;151303.74853707332;239183.83960426782;0.0;driving_people2;64;nil;{151304.18690822012,239184.73839831413,0.0};1.0;0.0;nil;3;4;0;1;4;3;2;1;1;0;0;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people3;151703.66804273645;239002.51113421502;0.0;driving_people3;347;nil;{151704.64241280124,239002.28618316067,0.0};1.0;0.0;nil;1;4;0;6;3;3;2;1;1;0;0;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people4;151431.88043405535;238826.95579599787;0.0;driving_people4;105;nil;{151431.62161501026,238827.92172182415,0.0};1.0;0.0;nil;4;3;0;1;1;2;2;0;1;1;1;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people5;151710.28078835408;239011.49675789088;0.0;driving_people5;95;nil;{151710.19363261134,239012.49295258897,0.0};1.0;0.0;nil;1;0;0;5;3;0;1;0;1;0;0;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people6;151733.19464019497;238843.6734911704;0.0;driving_people6;76;nil;{151733.43656209056,238844.64378689666,0.0};1.0;0.0;nil;3;3;1;6;1;3;2;1;1;2;1;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people7;150788.82073455417;238372.13755799978;0.0;driving_people7;6;nil;{150789.81525644954,238372.24208646305,0.0};1.0;0.0;nil;4;2;0;3;0;1;1;0;1;0;2;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people8;151124.96761720043;238223.75693090513;0.0;driving_people8;247;nil;{151124.57688607194,238222.83642605168,0.0};1.0;0.0;nil;2;4;0;0;2;0;1;1;1;0;0;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people9;150569.9788532496;238440.51630916435;0.0;driving_people9;102;nil;{150569.7709415588,238441.4944567651,0.0};1.0;0.0;nil;1;2;1;3;1;1;0;1;0;2;0;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people10;150757.57596441987;239214.45147247013;0.0;driving_people10;214;nil;{150756.74692684732,239213.89227956667,0.0};1.0;0.0;nil;1;1;0;1;1;1;1;0;1;1;1;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people11;151001.90415385712;238968.92898871086;0.0;driving_people11;209;nil;{151001.02953414997,238968.4441790906,0.0};1.0;0.0;nil;3;2;0;2;2;2;1;0;1;0;1;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
0;driving_people12;151233.4850522791;239689.1091227157;0.0;driving_people12;99;nil;{151233.32861781406,239690.09681105628,0.0};1.0;0.0;nil;3;2;2;1;1;1;1;0;1;0;2;5;5;5;5;0;0;0;3;0;driving_pc_polygons(1952);[];[]
